#,Rank,Sample_Concepts,IR_Reco_concepts,Tags_Reco_concepts,IR-Tags,Tags-IR,IR_Reco_count,Tags_Reco_count,IR-Tags-Count,Tags-IR-Count,IR-Coverage,Tags-Coverage
0,1,"['null', 'ObjectMethodInvocation', 'ActualMethodParameter', 'LessExpression', 'IfStatement', 'ReturnStatement', 'SimpleVariable', 'SimpleAssignmentExpression', 'ObjectVariable', 'OrExpression', 'EqualExpression', 'ConstructorCall', 'ObjectCreationStatement', 'IntDataType']","['ObjectMethodInvocation', 'ActualMethodParameter', 'ArrayElement', 'IfStatement', 'java.lang.System.out.println', 'SimpleVariable', 'SimpleAssignmentExpression', 'GreaterExpression', 'SubtractExpression', 'IntDataType']","['ObjectMethodInvocation', 'ActualMethodParameter', 'SimpleAssignmentExpression', 'ConstructorCall', 'ReturnStatement', 'ObjectCreationStatement']","['java.lang.System.out.println', 'SimpleVariable', 'IfStatement', 'IntDataType', 'GreaterExpression', 'ArrayElement', 'SubtractExpression']","['ObjectCreationStatement', 'ConstructorCall', 'ReturnStatement']",10,6,7,3,0.42857142857142855,0.42857142857142855
1,2,"['null', 'ObjectMethodInvocation', 'ActualMethodParameter', 'LessExpression', 'IfStatement', 'ReturnStatement', 'SimpleVariable', 'SimpleAssignmentExpression', 'ObjectVariable', 'OrExpression', 'EqualExpression', 'ConstructorCall', 'ObjectCreationStatement', 'IntDataType']","['ObjectMethodInvocation', 'ActualMethodParameter', 'ArrayElement', 'IfStatement', 'PostIncrementExpression', 'SimpleVariable', 'SimpleAssignmentExpression', 'GreaterExpression', 'SubtractExpression', 'AddExpression', 'IntDataType']","['null', 'ObjectMethodInvocation', 'ActualMethodParameter', 'IfStatement', 'ObjectCreationStatement', 'SimpleVariable', 'EqualExpression', 'SimpleAssignmentExpression', 'ConstructorCall', 'ReturnStatement', 'ObjectVariable']","['AddExpression', 'PostIncrementExpression', 'IntDataType', 'GreaterExpression', 'ArrayElement', 'SubtractExpression']","['ConstructorCall', 'ReturnStatement', 'EqualExpression', 'null', 'ObjectVariable', 'ObjectCreationStatement']",11,11,6,6,0.42857142857142855,0.7857142857142857
2,3,"['null', 'ObjectMethodInvocation', 'ActualMethodParameter', 'LessExpression', 'IfStatement', 'ReturnStatement', 'SimpleVariable', 'SimpleAssignmentExpression', 'ObjectVariable', 'OrExpression', 'EqualExpression', 'ConstructorCall', 'ObjectCreationStatement', 'IntDataType']","['ObjectMethodInvocation', 'LessExpression', 'ForStatement', 'True', 'StringLiteral', 'SimpleAssignmentExpression', 'StringAddition', 'ConstructorCall', 'False', 'ActualMethodParameter', 'PostIncrementExpression', 'SimpleVariable', 'StringDataType', 'TryCatchStatement', 'ObjectVariable', 'ObjectCreationStatement', 'IntDataType']","['null', 'ObjectMethodInvocation', 'ActualMethodParameter', 'IfStatement', 'ObjectCreationStatement', 'SimpleVariable', 'EqualExpression', 'SimpleAssignmentExpression', 'ConstructorCall', 'ReturnStatement', 'ObjectVariable']","['StringDataType', 'PostIncrementExpression', 'StringAddition', 'TryCatchStatement', 'LessExpression', 'False', 'IntDataType', 'True', 'ForStatement', 'StringLiteral']","['ReturnStatement', 'IfStatement', 'EqualExpression', 'null']",17,11,10,4,0.6428571428571429,0.7857142857142857
3,1,['ObjectMethodInvocation'],"['SimpleVariable', 'False', 'ObjectMethodInvocation', 'ActualMethodParameter', 'ObjectVariable']",['ObjectMethodInvocation'],"['SimpleVariable', 'ActualMethodParameter', 'False', 'ObjectVariable']",[],5,1,4,0,1.0,1.0
4,2,['ObjectMethodInvocation'],"['False', 'ObjectMethodInvocation', 'ActualMethodParameter']",['ObjectMethodInvocation'],"['ActualMethodParameter', 'False']",[],3,1,2,0,1.0,1.0
5,3,['ObjectMethodInvocation'],"['ConstructorCall', 'ActualMethodParameter', 'ObjectMethodInvocation', 'ObjectCreationStatement']",['ObjectMethodInvocation'],"['ObjectCreationStatement', 'ConstructorCall', 'ActualMethodParameter']",[],4,1,3,0,1.0,1.0
6,1,"['SimpleVariable', 'ObjectMethodInvocation', 'ActualMethodParameter', 'ArrayElement', 'ArrayDataType', 'IfStatement', 'StringDataType', 'ArrayLength', 'StringLiteral', 'TryCatchStatement', 'NotEqualExpression']","['ObjectMethodInvocation', 'IfStatement', 'ThrowStatement', 'StringLiteral', 'SimpleAssignmentExpression', 'ConstructorCall', 'java.lang.System.out.println', 'AddExpression', 'ActualMethodParameter', 'StringVariable', 'ArrayDataType', 'SimpleVariable', 'StringDataType', 'StringInitializationStatement', 'NotExpression', 'ObjectCreationStatement']","['SimpleVariable', 'ObjectMethodInvocation', 'ActualMethodParameter', 'StringVariable', 'ArrayElement', 'IfStatement', 'StringDataType', 'java.lang.System.out.println', 'ArrayLength', 'StringLiteral', 'SimpleAssignmentExpression', 'NotEqualExpression', 'TryCatchStatement', 'ConstructorCall', 'ObjectCreationStatement']","['StringInitializationStatement', 'NotExpression', 'ArrayDataType', 'ThrowStatement', 'AddExpression']","['ArrayLength', 'NotEqualExpression', 'ArrayElement', 'TryCatchStatement']",16,15,5,4,0.6363636363636364,0.9090909090909091
7,2,"['SimpleVariable', 'ObjectMethodInvocation', 'ActualMethodParameter', 'ArrayElement', 'ArrayDataType', 'IfStatement', 'StringDataType', 'ArrayLength', 'StringLiteral', 'TryCatchStatement', 'NotEqualExpression']","['ObjectMethodInvocation', 'IfStatement', 'ThrowStatement', 'StringLiteral', 'SimpleAssignmentExpression', 'StringAddition', 'java.lang.Object', 'ConstructorCall', 'SimpleVariable', 'ActualMethodParameter', 'ArrayDataType', 'null', 'StringDataType', 'TryCatchStatement', 'ObjectCreationStatement', 'NotEqualExpression']","['ObjectMethodInvocation', 'IfStatement', 'ThrowStatement', 'ArrayLength', 'StringLiteral', 'SimpleAssignmentExpression', 'NotEqualExpression', 'java.lang.Object', 'ExplicitTypeCasting', 'ConstructorCall', 'ActualMethodParameter', 'ArrayElement', 'ArrayDataType', 'SimpleVariable', 'StringDataType', 'NotExpression', 'TryCatchStatement', 'ObjectVariable', 'ObjectCreationStatement', 'StringAddition']",['null'],"['NotExpression', 'ArrayLength', 'ArrayElement', 'ObjectVariable', 'ExplicitTypeCasting']",16,20,1,5,0.8181818181818182,1.0
8,3,"['SimpleVariable', 'ObjectMethodInvocation', 'ActualMethodParameter', 'ArrayElement', 'ArrayDataType', 'IfStatement', 'StringDataType', 'ArrayLength', 'StringLiteral', 'TryCatchStatement', 'NotEqualExpression']","['ObjectMethodInvocation', 'IfStatement', 'ThrowStatement', 'StringLiteral', 'SimpleAssignmentExpression', 'StringAddition', 'java.lang.Object', 'ConstructorCall', 'SimpleVariable', 'ActualMethodParameter', 'ArrayDataType', 'null', 'StringDataType', 'TryCatchStatement', 'ObjectCreationStatement', 'NotEqualExpression']","['ObjectMethodInvocation', 'ActualMethodParameter', 'ArrayDataType', 'StringDataType', 'SimpleVariable', 'StringLiteral', 'SimpleAssignmentExpression', 'TryCatchStatement', 'ConstructorCall', 'ObjectCreationStatement']","['IfStatement', 'StringAddition', 'ThrowStatement', 'null', 'java.lang.Object', 'NotEqualExpression']",[],16,10,6,0,0.8181818181818182,0.6363636363636364
9,1,"['SimpleVariable', 'ObjectVariable']","['SimpleVariable', 'ObjectVariable']","['SimpleVariable', 'ObjectVariable']",[],[],2,2,0,0,1.0,1.0
