weightid,signature,structure,concepts,language,time,user_id,vote_id,code
1,3.5,1.0,1.0,1.0,2017-04-20 19:17:10.486069,4,,"public double calculateTax(Person p){
  
}"
2,3.5,1.0,1.0,1.0,2017-04-20 19:18:12.040723,4,1,"{""qId"":2,""reco"":{""rank"":5,""source"":0,""text"":""public static void main(String[] args) {\n    double price = 9.95;\n    double taxRate = 8.25;\n    double tax = Financial.percentOf(price, taxRate);\n    System.out.printf(\""Tax: %.2f\\n\"", tax);\n}\n"",""rating"":1},""code"":""public double calculateTax(Person p){\n  \n}""}"
3,3.5,1.0,1.0,2.5,2017-04-20 19:19:12.341641,4,,"public double calculateTax(Person p){
  //Calculates the tax based on the persons occupation
}"
4,3.5,1.0,1.0,2.5,2017-04-20 19:21:06.398609,4,2,"{""qId"":2,""reco"":{""rank"":4,""source"":0,""text"":""public Product(float price) {\n    this.price = price;\n    tax = (float) (price * 0.20);\n}\n"",""rating"":3},""code"":""public double calculateTax(Person p){\n  //Calculates the tax based on the persons occupation\n}""}"
5,3.5,1.0,1.0,2.5,2017-04-20 19:22:02.395706,4,3,"{""qId"":2,""reco"":{""rank"":1,""source"":1,""text"":""/**\n      Processes the sales tax due.\n      @return the sales tax due\n   */\npublic double getSalesTax() {\n    return taxablePurchase * taxRate / 100;\n}\n"",""rating"":3},""code"":""public double calculateTax(Person p){\n  //Calculates the tax based on the persons occupation\n}""}"
6,3.5,1.0,1.0,2.5,2017-04-20 19:22:39.953375,4,4,"{""qId"":2,""reco"":{""rank"":2,""source"":0,""text"":""@WorkInProgress\n@Task(description = \""Implement tax computations\"", targetDate = \""Jan 1, 2012\"", estimatedHours = 50, additionalNote = \""This implementation is critical for the final launch\"")\npublic static float ComputeTax(float amount, float rate) {\n    return 0;\n}\n"",""rating"":3},""code"":""public double calculateTax(Person p){\n  //Calculates the tax based on the persons occupation\n}""}"
7,3.5,1.0,1.0,2.5,2017-04-20 19:23:47.872558,4,5,"{""qId"":2,""reco"":{""rank"":4,""source"":0,""text"":""public Product(float price) {\n    this.price = price;\n    tax = (float) (price * 0.20);\n}\n"",""rating"":3},""code"":""public double calculateTax(Person p){\n  //Get the class of the Person object\n  //Calculates the tax based on that person's occupation\n}""}"
8,1.0,1.0,1.0,2.5,2017-04-20 19:29:29.806782,4,,"public double calculateTax(Person p){
  //Find the class of the object
  //Calculates the tax based on that person's occupation
  if(p.class==""Employee""){
    if(p.getSalary()<10000){
      return p.getSalary()*0.02;
    }else{
      return p.getSalary()*0.05;
    }
  }else if(p.class==""BusiessOwner""){
    return p.getProfit()*0.1;
  }
  return 0.0;
}"
9,1.0,1.0,1.0,1.0,2017-04-20 19:29:31.346843,4,,"public double calculateTax(Person p){
  //Find the class of the object
  //Calculates the tax based on that person's occupation
  if(p.class==""Employee""){
    if(p.getSalary()<10000){
      return p.getSalary()*0.02;
    }else{
      return p.getSalary()*0.05;
    }
  }else if(p.class==""BusiessOwner""){
    return p.getProfit()*0.1;
  }
  return 0.0;
}"
10,2.0,1.0,1.0,1.0,2017-04-20 19:29:42.009932,4,,"public double calculateTax(Person p){
  //Find the class of the object
  //Calculates the tax based on that person's occupation
  if(p.class==""Employee""){
    if(p.getSalary()<10000){
      return p.getSalary()*0.02;
    }else{
      return p.getSalary()*0.05;
    }
  }else if(p.class==""BusiessOwner""){
    return p.getProfit()*0.1;
  }
  return 0.0;
}"
