ccid,question,source,rank,rating,time,user_id
1,1,0,2,3,2017-04-21 07:02:51.456870,7
2,1,0,2,3,2017-04-21 07:07:28.544156,7
3,1,0,2,3,2017-04-21 07:07:41.160031,7
4,1,0,2,0,2017-04-23 16:28:25.601272,31
5,2,1,2,0,2017-04-24 20:31:52.038514,40
6,1,1,4,0,2017-04-25 00:06:01.245178,41
7,1,0,1,2,2017-04-25 16:06:45.018162,43
8,1,0,2,4,2017-04-28 02:52:19.939854,49
9,1,0,3,3,2017-04-28 02:53:50.724420,49
10,1,1,1,5,2017-04-29 21:55:36.760119,55
11,1,1,1,5,2017-04-29 21:56:05.664628,55
12,1,1,5,5,2017-04-29 21:56:41.394133,55
