voteid,question,source,rank,rating,time,user_id,code
1,2,0,5,1,2017-04-20 19:18:12.022629,4,"public double calculateTax(Person p){
  
}"
2,2,0,4,3,2017-04-20 19:21:06.394715,4,"public double calculateTax(Person p){
  //Calculates the tax based on the persons occupation
}"
3,2,1,1,3,2017-04-20 19:22:02.387058,4,"public double calculateTax(Person p){
  //Calculates the tax based on the persons occupation
}"
4,2,0,2,3,2017-04-20 19:22:39.949066,4,"public double calculateTax(Person p){
  //Calculates the tax based on the persons occupation
}"
5,2,0,4,3,2017-04-20 19:23:47.868244,4,"public double calculateTax(Person p){
  //Get the class of the Person object
  //Calculates the tax based on that person's occupation
}"
6,2,1,3,2,2017-04-20 19:30:03.397214,4,"public double calculateTax(Person p){
  //Find the class of the object
  //Calculates the tax based on that person's occupation
  if(p.class==""Employee""){
    if(p.getSalary()<10000){
      return p.getSalary()*0.02;
    }else{
      return p.getSalary()*0.05;
    }
  }else if(p.class==""BusiessOwner""){
    return p.getProfit()*0.1;
  }
  return 0.0;
}"
7,2,0,5,3,2017-04-20 19:40:51.967623,4,"public double calculateTax(Person p){
  //function for calculating tax based on occupation 

  if(p.class==""Employee""){
    if(p.getSalary()<10000){
      return p.getSalary()*0.02;
    }else{
      return p.getSalary()*0.05;
    }
  }else if(p.class==""BusiessOwner""){
    return p.getProfit()*0.1;
  }
  return 0.0;
}"
8,2,0,4,3,2017-04-20 19:41:14.361063,4,"public double calculateTax(Person p){
  //function for calculating tax based on occupation 

  if(p.class==""Employee""){
    if(p.getSalary()<10000){
      return p.getSalary()*0.02;
    }else{
      return p.getSalary()*0.05;
    }
  }else if(p.class==""BusiessOwner""){
    return p.getProfit()*0.1;
  }
  return 0.0;
}"
9,2,0,5,3,2017-04-20 19:48:50.650547,4,"public double calculateTax(Person p){
  //instance Of method
  if(p.class==""Employee""){
    if(p.getSalary()<10000){
      return p.getSalary()*0.02;
    }else{
      return p.getSalary()*0.05;
    }
  }else if(p.class==""BusiessOwner""){
    return p.getProfit()*0.1;
  }
  return 0.0;
}"
10,2,0,4,3,2017-04-20 19:51:00.579223,4,"public double calculateTax(Person p){
  //instance Of method
  if(p instanceof Employee){
    Employee e = (Employee)p
    if(p.getSalary()<10000){
      return p.getSalary()*0.02;
    }else{
      return p.getSalary()*0.05;
    }
  }else if(p.class==""BusiessOwner""){
    return p.getProfit()*0.1;
  }
  return 0.0;
}"
11,2,1,4,3,2017-04-20 19:56:31.752276,4,"public double calculateTax(Person p){
  //instance Of method
  
  if(p instanceof Employee){
    Employee e = (Employee)p
    if(e.getSalary()<10000){
      return e.getSalary()*0.02;
    }else{
      return e.getSalary()*0.05;
    }
  }else if(p instanceof BusinessOwner){
    BusinessOwner b = (BusinessOwner)p;
    return b.getProfit()*0.1;
  }
  return 0.0;
}"
12,2,0,4,1,2017-04-20 19:56:33.764955,4,"public double calculateTax(Person p){
  //instance Of method
  
  if(p instanceof Employee){
    Employee e = (Employee)p
    if(e.getSalary()<10000){
      return e.getSalary()*0.02;
    }else{
      return e.getSalary()*0.05;
    }
  }else if(p instanceof BusinessOwner){
    BusinessOwner b = (BusinessOwner)p;
    return b.getProfit()*0.1;
  }
  return 0.0;
}"
13,2,0,1,1,2017-04-20 19:56:37.920173,4,"public double calculateTax(Person p){
  //instance Of method
  
  if(p instanceof Employee){
    Employee e = (Employee)p
    if(e.getSalary()<10000){
      return e.getSalary()*0.02;
    }else{
      return e.getSalary()*0.05;
    }
  }else if(p instanceof BusinessOwner){
    BusinessOwner b = (BusinessOwner)p;
    return b.getProfit()*0.1;
  }
  return 0.0;
}"
14,2,0,2,1,2017-04-20 19:56:38.719357,4,"public double calculateTax(Person p){
  //instance Of method
  
  if(p instanceof Employee){
    Employee e = (Employee)p
    if(e.getSalary()<10000){
      return e.getSalary()*0.02;
    }else{
      return e.getSalary()*0.05;
    }
  }else if(p instanceof BusinessOwner){
    BusinessOwner b = (BusinessOwner)p;
    return b.getProfit()*0.1;
  }
  return 0.0;
}"
15,2,1,2,1,2017-04-20 19:56:44.140562,4,"public double calculateTax(Person p){
  //instance Of method
  
  if(p instanceof Employee){
    Employee e = (Employee)p
    if(e.getSalary()<10000){
      return e.getSalary()*0.02;
    }else{
      return e.getSalary()*0.05;
    }
  }else if(p instanceof BusinessOwner){
    BusinessOwner b = (BusinessOwner)p;
    return b.getProfit()*0.1;
  }
  return 0.0;
}"
16,1,0,3,3,2017-04-20 19:58:43.884305,4,"public int getMaxDifference(int input[]){

}"
17,1,1,3,3,2017-04-20 19:59:57.521675,4,"public int getMaxDifference(int input[]){
//function to calculate maximum difference in array
}"
18,1,0,2,3,2017-04-20 20:00:21.873035,4,"public int getMaxDifference(int input[]){
//function to calculate maximum difference in array
}"
19,1,1,3,3,2017-04-20 20:49:10.402790,4,"public int getMaxDifference(int input[]){
// difference of maximum and minimum of the array
  int min=Integer.MAX_VALUE;
  int max = Integer.MIN_VALUE;
  for(int i=0;i<input.length;i++){
    
  }
}"
20,1,0,5,4,2017-04-20 20:49:16.687837,4,"public int getMaxDifference(int input[]){
// difference of maximum and minimum of the array
  int min=Integer.MAX_VALUE;
  int max = Integer.MIN_VALUE;
  for(int i=0;i<input.length;i++){
    
  }
}"
21,1,0,5,2,2017-04-20 20:53:37.909442,4,"public int getMaxDifference(int input[]){
// difference of maximum and minimum of the array
  int min=Integer.MAX_VALUE;
  int max = Integer.MIN_VALUE;
  for(int i=0;i<input.length;i++){
    if(input[i]>max)
      max = input[i];
    else if(input[i]<min)
      min = input[i];
  }
  return max-min;
}"
22,1,0,5,2,2017-04-20 20:55:04.018061,4,"public int getMaxDifference(int input[]){
// difference of maximum and minimum of the array
  int min=Integer.MAX_VALUE;
  int max = Integer.MIN_VALUE;
  for(int i=0;i<input.length;i++){
    if(input[i]>max)
      max = input[i];
    else if(input[i]<min)
      min = input[i];
  }
  return max-min;
}"
23,1,0,5,1,2017-04-20 20:56:20.859275,4,"public int getMaxDifference(int input[]){
// difference of maximum and minimum of the array
  int min=Integer.MAX_VALUE;
  int max = Integer.MIN_VALUE;
  for(int i=0;i<input.length;i++){
    if(input[i]>max)
      max = input[i];
    else if(input[i]<min)
      min = input[i];
  }
  return max-min;
}"
24,1,1,3,1,2017-04-20 20:56:28.684651,4,"public int getMaxDifference(int input[]){
// difference of maximum and minimum of the array
  int min=Integer.MAX_VALUE;
  int max = Integer.MIN_VALUE;
  for(int i=0;i<input.length;i++){
    if(input[i]>max)
      max = input[i];
    else if(input[i]<min)
      min = input[i];
  }
  return max-min;
}"
25,1,0,1,1,2017-04-20 20:56:52.411549,4,"public int getMaxDifference(int input[]){
// difference of maximum and minimum of the array
  int min=Integer.MAX_VALUE;
  int max = Integer.MIN_VALUE;
  for(int i=0;i<input.length;i++){
    if(input[i]>max)
      max = input[i];
    else if(input[i]<min)
      min = input[i];
  }
  return max-min;
}"
26,1,1,4,1,2017-04-20 20:57:01.494849,4,"public int getMaxDifference(int input[]){
// difference of maximum and minimum of the array
  int min=Integer.MAX_VALUE;
  int max = Integer.MIN_VALUE;
  for(int i=0;i<input.length;i++){
    if(input[i]>max)
      max = input[i];
    else if(input[i]<min)
      min = input[i];
  }
  return max-min;
}"
27,1,0,5,2,2017-04-20 20:57:06.024345,4,"public int getMaxDifference(int input[]){
// difference of maximum and minimum of the array
  int min=Integer.MAX_VALUE;
  int max = Integer.MIN_VALUE;
  for(int i=0;i<input.length;i++){
    if(input[i]>max)
      max = input[i];
    else if(input[i]<min)
      min = input[i];
  }
  return max-min;
}"
28,1,1,3,1,2017-04-20 20:57:14.609551,4,"public int getMaxDifference(int input[]){
// difference of maximum and minimum of the array
  int min=Integer.MAX_VALUE;
  int max = Integer.MIN_VALUE;
  for(int i=0;i<input.length;i++){
    if(input[i]>max)
      max = input[i];
    else if(input[i]<min)
      min = input[i];
  }
  return max-min;
}"
29,1,0,4,1,2017-04-20 20:57:16.673245,4,"public int getMaxDifference(int input[]){
// difference of maximum and minimum of the array
  int min=Integer.MAX_VALUE;
  int max = Integer.MIN_VALUE;
  for(int i=0;i<input.length;i++){
    if(input[i]>max)
      max = input[i];
    else if(input[i]<min)
      min = input[i];
  }
  return max-min;
}"
30,1,0,2,1,2017-04-21 05:33:45.066726,5,"int largestDifference(int[] a) {
  
}"
31,1,0,1,2,2017-04-21 05:35:10.633939,5,"int largestDifference(int[] a) {
  int largest=INTEGER.Minimum;
  int smallest = INTEGER.Maximum;
  for(int i=0; i<a.length; i++) {
    if(a[i] > largest) {
      largest = a[i];
    }
  }
}"
