weightid,signature,structure,concepts,language,time,user_id,vote_id,code
1,1.0,3.0,1.0,1.0,2017-05-06 05:03:13.156225,3,,"public static int Taxreturn(Person P){
  
}"
2,1.0,3.0,1.0,2.5,2017-05-06 05:03:13.937092,3,,"public static int Taxreturn(Person P){
  
}"
3,1.0,3.0,1.0,2.5,2017-05-06 05:03:20.421223,3,1,"{""qId"":2,""reco"":{""rank"":3,""source"":1,""text"":""// pre: num >= 2\npublic static int numFactors(int num) {\n    assert num >= 2 : \""failed precondition. num must be >= 2. num: \"" + num;\n    int result = 0;\n    final double SQRT = Math.sqrt(num);\n    for (int i = 1; i < SQRT; i++) {\n        if (num % i == 0) {\n            result += 2;\n        }\n    }\n    if (num % SQRT == 0)\n        result++;\n    return result;\n}\n"",""rating"":2},""code"":""public static int Taxreturn(Person P){\n  \n}""}"
4,1.0,3.0,1.0,2.5,2017-05-06 05:03:21.826333,3,2,"{""qId"":2,""reco"":{""rank"":5,""source"":1,""text"":""public static int getRadius() {\n    return radius;\n}\n"",""rating"":1},""code"":""public static int Taxreturn(Person P){\n  \n}""}"
5,1.0,3.0,1.0,2.5,2017-05-06 05:03:23.005640,3,3,"{""qId"":2,""reco"":{""rank"":5,""source"":0,""text"":""public static void main(String[] unuxed) {\n    new ButtonDemo().setVisible(true);\n}\n"",""rating"":1},""code"":""public static int Taxreturn(Person P){\n  \n}""}"
6,1.0,3.0,1.0,2.5,2017-05-06 05:04:02.090173,3,4,"{""qId"":2,""reco"":{""rank"":3,""source"":0,""text"":""/**\n      Constructs a manager with a given name, annual salary and weekly bonus.\n      @param name the name of this employee\n      @param salary the annual salary\n      @param bonus the weekly bonus\n    */\npublic Manager(String name, double salary, double bonus) {\n    super(name, salary);\n    weeklyBonus = bonus;\n}\n"",""rating"":3},""code"":""public static int Taxreturn(Person P){\n  /*Write a java method that takes a person and returns their tax as below:\n1. For employees, if salary < $10,000, 2% of salary, else 5%\n2. For business owners, 10% of their profit\n3. 0 for veterans\n  */ \n}""}"
7,1.0,3.0,1.0,2.5,2017-05-06 05:04:07.100785,3,5,"{""qId"":2,""reco"":{""rank"":1,""source"":1,""text"":""@WorkInProgress\n@Task(description = \""Implement tax computations\"", targetDate = \""Jan 1, 2012\"", estimatedHours = 50, additionalNote = \""This implementation is critical for the final launch\"")\npublic static float ComputeTax(float amount, float rate) {\n    return 0;\n}\n"",""rating"":3},""code"":""public static int Taxreturn(Person P){\n  /*Write a java method that takes a person and returns their tax as below:\n1. For employees, if salary < $10,000, 2% of salary, else 5%\n2. For business owners, 10% of their profit\n3. 0 for veterans\n  */ \n}""}"
8,1.0,3.0,1.0,2.5,2017-05-06 05:04:12.775046,3,6,"{""qId"":2,""reco"":{""rank"":4,""source"":1,""text"":""public static void main(String[] args) {\n    Employee[] staff = new Employee[3];\n    staff[0] = new HourlyEmployee(\""Morgan, Harry\"", 30);\n    staff[1] = new SalariedEmployee(\""Lin, Sally\"", 52000);\n    staff[2] = new Manager(\""Smith, Mary\"", 104000, 50);\n    Scanner in = new Scanner(System.in);\n    for (Employee e : staff) {\n        System.out.print(\""Hours worked by \"" + e.getName() + \"": \"");\n        int hours = in.nextInt();\n        System.out.println(\""Salary: \"" + e.weeklyPay(hours));\n    }\n}\n"",""rating"":3},""code"":""public static int Taxreturn(Person P){\n  /*Write a java method that takes a person and returns their tax as below:\n1. For employees, if salary < $10,000, 2% of salary, else 5%\n2. For business owners, 10% of their profit\n3. 0 for veterans\n  */ \n}""}"
9,1.0,3.0,1.0,2.5,2017-05-06 05:04:18.612653,3,7,"{""qId"":2,""reco"":{""rank"":4,""source"":0,""text"":""/**\n      Constructs an employee with an empty name.\n   */\npublic Employee() {\n    name = \""\"";\n}\n"",""rating"":2},""code"":""public static int Taxreturn(Person P){\n  /*Write a java method that takes a person and returns their tax as below:\n1. For employees, if salary < $10,000, 2% of salary, else 5%\n2. For business owners, 10% of their profit\n3. 0 for veterans\n  */ \n}""}"
10,1.0,3.0,1.0,2.5,2017-05-06 05:04:19.525797,3,8,"{""qId"":2,""reco"":{""rank"":2,""source"":0,""text"":""/**\n      Sets the name of this employee.\n      @param employeeName the new name \n   */\npublic void setName(String employeeName) {\n    name = employeeName;\n}\n"",""rating"":2},""code"":""public static int Taxreturn(Person P){\n  /*Write a java method that takes a person and returns their tax as below:\n1. For employees, if salary < $10,000, 2% of salary, else 5%\n2. For business owners, 10% of their profit\n3. 0 for veterans\n  */ \n}""}"
