weightid,signature,structure,concepts,language,time,user_id,vote_id,code
1,1.0,1.0,1.0,1.0,2017-04-05 20:09:29.889632,17,,
2,2.0,1.0,1.0,1.0,2017-04-05 20:09:50.441911,1,,
3,0.5,1.0,1.0,1.0,2017-04-05 20:09:53.515205,1,,
4,1.0,1.0,1.0,1.0,2017-04-05 20:09:56.178805,1,,
5,1.0,1.0,3.5,1.0,2017-04-05 20:11:43.298345,1,,"public static void main(String[] args)
{
  
}"
6,1.0,1.0,1.0,1.0,2017-04-05 20:12:34.632379,1,,"public static void main(String[] args)
{
	
}"
7,5.0,1.0,1.0,1.0,2017-04-05 20:12:41.344935,17,,"int largestDiff(int[] x)
{
  int largest = int[0],smallest = int[0];
  for(int y = 1, y < x[].length,y++)
  {
    if(x[y] > largest)
    {
      largest = x[y];
    }
  }
  for(int y = 1, y < x[].length,y++)
  {
    if(x[y] < smallest)
    {
      smallest = x[y];
    }
  }
  return largest - smallest;
}"
8,1.0,1.0,1.0,1.0,2017-04-05 20:13:00.153744,17,,"int largestDiff(int[] x)
{
  int largest = int[0],smallest = int[0];
  for(int y = 1, y < x[].length,y++)
  {
    if(x[y] > largest)
    {
      largest = x[y];
    }
  }
  for(int y = 1, y < x[].length,y++)
  {
    if(x[y] < smallest)
    {
      smallest = x[y];
    }
  }
  return largest - smallest;
}"
9,2.5,1.0,1.0,1.0,2017-04-05 20:13:03.461372,17,,"int largestDiff(int[] x)
{
  int largest = int[0],smallest = int[0];
  for(int y = 1, y < x[].length,y++)
  {
    if(x[y] > largest)
    {
      largest = x[y];
    }
  }
  for(int y = 1, y < x[].length,y++)
  {
    if(x[y] < smallest)
    {
      smallest = x[y];
    }
  }
  return largest - smallest;
}"
10,5.0,1.0,1.0,1.0,2017-04-05 20:13:07.468903,17,,"int largestDiff(int[] x)
{
  int largest = int[0],smallest = int[0];
  for(int y = 1, y < x[].length,y++)
  {
    if(x[y] > largest)
    {
      largest = x[y];
    }
  }
  for(int y = 1, y < x[].length,y++)
  {
    if(x[y] < smallest)
    {
      smallest = x[y];
    }
  }
  return largest - smallest;
}"
