voteid,question,source,rank,rating,time,user_id,code
1,2,1,3,2,2017-05-06 05:03:20.407720,3,"public static int Taxreturn(Person P){
  
}"
2,2,1,5,1,2017-05-06 05:03:21.821441,3,"public static int Taxreturn(Person P){
  
}"
3,2,0,5,1,2017-05-06 05:03:23.000820,3,"public static int Taxreturn(Person P){
  
}"
4,2,0,3,3,2017-05-06 05:04:02.086138,3,"public static int Taxreturn(Person P){
  /*Write a java method that takes a person and returns their tax as below:
1. For employees, if salary < $10,000, 2% of salary, else 5%
2. For business owners, 10% of their profit
3. 0 for veterans
  */ 
}"
5,2,1,1,3,2017-05-06 05:04:07.096158,3,"public static int Taxreturn(Person P){
  /*Write a java method that takes a person and returns their tax as below:
1. For employees, if salary < $10,000, 2% of salary, else 5%
2. For business owners, 10% of their profit
3. 0 for veterans
  */ 
}"
6,2,1,4,3,2017-05-06 05:04:12.768150,3,"public static int Taxreturn(Person P){
  /*Write a java method that takes a person and returns their tax as below:
1. For employees, if salary < $10,000, 2% of salary, else 5%
2. For business owners, 10% of their profit
3. 0 for veterans
  */ 
}"
7,2,0,4,2,2017-05-06 05:04:18.593057,3,"public static int Taxreturn(Person P){
  /*Write a java method that takes a person and returns their tax as below:
1. For employees, if salary < $10,000, 2% of salary, else 5%
2. For business owners, 10% of their profit
3. 0 for veterans
  */ 
}"
8,2,0,2,2,2017-05-06 05:04:19.506476,3,"public static int Taxreturn(Person P){
  /*Write a java method that takes a person and returns their tax as below:
1. For employees, if salary < $10,000, 2% of salary, else 5%
2. For business owners, 10% of their profit
3. 0 for veterans
  */ 
}"
9,2,1,3,3,2017-05-06 05:06:20.193724,3,"public static int Taxreturn(Person P){
  /*Write a java method that takes a person and returns their tax as below:
1. For employees, if salary < $10,000, 2% of salary, else 5%
2. For business owners, 10% of their profit
3. 0 for veterans
  */ 
  if(p.getSalary()){
    return p.getSalary();
  }
  
}"
10,2,0,4,3,2017-05-06 05:06:21.497284,3,"public static int Taxreturn(Person P){
  /*Write a java method that takes a person and returns their tax as below:
1. For employees, if salary < $10,000, 2% of salary, else 5%
2. For business owners, 10% of their profit
3. 0 for veterans
  */ 
  if(p.getSalary()){
    return p.getSalary();
  }
  
}"
11,2,1,2,2,2017-05-06 05:06:23.263799,3,"public static int Taxreturn(Person P){
  /*Write a java method that takes a person and returns their tax as below:
1. For employees, if salary < $10,000, 2% of salary, else 5%
2. For business owners, 10% of their profit
3. 0 for veterans
  */ 
  if(p.getSalary()){
    return p.getSalary();
  }
  
}"
12,2,1,1,2,2017-05-06 05:06:24.740051,3,"public static int Taxreturn(Person P){
  /*Write a java method that takes a person and returns their tax as below:
1. For employees, if salary < $10,000, 2% of salary, else 5%
2. For business owners, 10% of their profit
3. 0 for veterans
  */ 
  if(p.getSalary()){
    return p.getSalary();
  }
  
}"
13,2,1,4,2,2017-05-06 05:06:28.701478,3,"public static int Taxreturn(Person P){
  /*Write a java method that takes a person and returns their tax as below:
1. For employees, if salary < $10,000, 2% of salary, else 5%
2. For business owners, 10% of their profit
3. 0 for veterans
  */ 
  if(p.getSalary()){
    return p.getSalary();
  }
  
}"
14,2,0,2,3,2017-05-06 05:06:30.176580,3,"public static int Taxreturn(Person P){
  /*Write a java method that takes a person and returns their tax as below:
1. For employees, if salary < $10,000, 2% of salary, else 5%
2. For business owners, 10% of their profit
3. 0 for veterans
  */ 
  if(p.getSalary()){
    return p.getSalary();
  }
  
}"
15,2,1,5,2,2017-05-06 05:06:31.627637,3,"public static int Taxreturn(Person P){
  /*Write a java method that takes a person and returns their tax as below:
1. For employees, if salary < $10,000, 2% of salary, else 5%
2. For business owners, 10% of their profit
3. 0 for veterans
  */ 
  if(p.getSalary()){
    return p.getSalary();
  }
  
}"
16,2,0,1,2,2017-05-06 05:06:33.464649,3,"public static int Taxreturn(Person P){
  /*Write a java method that takes a person and returns their tax as below:
1. For employees, if salary < $10,000, 2% of salary, else 5%
2. For business owners, 10% of their profit
3. 0 for veterans
  */ 
  if(p.getSalary()){
    return p.getSalary();
  }
  
}"
17,1,1,4,4,2017-05-06 05:09:28.395884,3,"public static KillArray(int[] IntAr){
  int a;
  for (i=0; i<IntAr.length; i++){
    
  }
  return a;
}"
18,1,1,3,4,2017-05-06 05:09:30.691897,3,"public static KillArray(int[] IntAr){
  int a;
  for (i=0; i<IntAr.length; i++){
    
  }
  return a;
}"
