ccid,question,source,rank,rating,time,user_id
1,1,1,2,0,2017-04-05 20:17:02.215823,1
2,1,0,2,4,2017-04-05 20:18:44.768631,19
3,2,1,4,3,2017-04-05 20:18:55.785088,18
4,1,0,2,4,2017-04-05 20:19:02.287883,19
5,2,1,4,2,2017-04-05 20:20:54.728250,12
6,1,0,2,5,2017-04-05 20:21:26.272413,11
7,1,0,2,5,2017-04-05 20:21:26.480621,11
8,2,1,4,4,2017-04-05 20:21:35.471467,12
9,1,0,2,4,2017-04-05 20:26:03.598934,12
10,1,1,2,0,2017-04-05 20:29:28.295409,11
11,1,0,4,0,2017-04-05 20:29:28.299369,11
12,1,1,2,0,2017-04-05 20:29:28.371415,11
13,1,0,4,0,2017-04-05 20:29:28.375940,11
14,1,1,2,0,2017-04-05 20:29:28.483183,11
15,1,0,4,0,2017-04-05 20:29:28.487132,11
16,2,1,4,0,2017-04-05 20:30:52.157977,1
17,2,0,1,5,2017-04-05 20:34:42.765755,11
18,2,0,1,5,2017-04-05 20:34:42.924486,11
19,1,0,2,5,2017-04-05 20:43:32.066830,4
20,1,0,2,5,2017-04-05 20:43:35.426073,4
