weightid,signature,structure,concepts,language,time,user_id,vote_id,code
1,2.5,1.0,1.0,1.0,2017-03-24 05:12:33.944433,2,,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
2,2.5,3.5,1.0,1.0,2017-03-24 05:12:39.806373,2,,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
3,2.5,3.5,4.0,1.0,2017-03-24 05:12:51.608660,2,,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
4,2.5,3.5,4.0,3.0,2017-03-24 05:12:52.991738,2,,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
5,2.5,3.5,4.0,1.5,2017-03-24 05:13:21.377892,2,,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
6,3.5,3.5,4.0,1.5,2017-03-24 05:13:24.178289,2,,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
7,2.0,3.5,4.0,1.5,2017-03-24 05:13:24.881143,2,,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
8,2.0,4.5,4.0,1.5,2017-03-24 05:13:26.139906,2,,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
9,2.0,4.5,2.0,1.5,2017-03-24 05:13:27.638868,2,,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
10,2.0,4.5,2.0,3.5,2017-03-24 05:13:31.322494,2,,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
11,2.0,4.5,2.0,1.5,2017-03-24 05:14:43.018325,2,,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
12,2.0,4.5,4.0,1.5,2017-03-24 05:36:31.476401,2,,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
13,2.0,1.5,4.0,1.5,2017-03-24 05:36:31.930363,2,,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
14,2.0,3.5,4.0,1.5,2017-03-24 05:36:35.239403,2,,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
15,2.0,4.0,4.0,1.5,2017-03-24 05:36:35.785504,2,,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
16,0.5,4.0,4.0,1.5,2017-03-24 05:36:52.884253,2,,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
17,0.5,4.0,4.0,1.0,2017-03-24 05:36:54.304322,2,,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
18,0.5,3.0,4.0,1.0,2017-03-24 05:37:35.016918,2,,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
19,0.5,2.5,4.0,1.0,2017-03-24 05:37:36.701313,2,,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
20,0.5,1.0,4.0,1.0,2017-03-24 05:38:02.626217,2,,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
21,0.5,1.0,4.0,0.5,2017-03-24 05:38:04.035971,2,,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
22,0.5,1.0,4.0,0.5,2017-03-24 05:38:05.275943,2,,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
