voteid,question,source,rank,rating,time,user_id,code
1,2,0,4,4,2017-03-24 05:38:26.789293,2,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
2,2,0,5,2,2017-03-24 05:38:34.916478,2,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
3,2,0,5,5,2017-03-24 05:38:38.131901,2,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
4,2,0,5,5,2017-03-24 05:38:43.776009,2,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
5,2,0,5,5,2017-03-24 05:38:44.049678,2,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
6,2,0,5,5,2017-03-24 05:38:44.297966,2,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
7,2,0,5,5,2017-03-24 05:38:44.485770,2,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
8,2,0,5,5,2017-03-24 05:38:44.810813,2,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
9,2,0,5,5,2017-03-24 05:38:45.029786,2,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
10,2,0,5,5,2017-03-24 05:38:45.192553,2,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
11,2,0,5,5,2017-03-24 05:38:46.141956,2,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
12,2,1,3,4,2017-03-24 05:40:28.005549,2,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
13,2,0,1,2,2017-03-24 05:40:28.964408,2,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
14,2,1,4,4,2017-03-24 05:40:35.437076,2,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
15,2,0,3,4,2017-03-24 05:40:40.536287,2,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
16,1,1,1,3,2017-03-24 05:45:59.337065,2,"int maxDiff(int[] array) {
  return large - small;
}"
17,1,0,4,5,2017-03-24 05:46:00.123371,2,"int maxDiff(int[] array) {
  return large - small;
}"
18,1,0,1,2,2017-03-24 05:46:01.142598,2,"int maxDiff(int[] array) {
  return large - small;
}"
19,1,0,5,4,2017-03-24 05:46:03.039554,2,"int maxDiff(int[] array) {
  return large - small;
}"
20,1,1,4,3,2017-03-24 05:46:04.683187,2,"int maxDiff(int[] array) {
  return large - small;
}"
