,Username,Code,Queries,Word Count
0,1071643,publicstaticvoidmain(int[]a){inttotal=0;for(inti=0;a[i];i++)},10,11
1,1226301,intfindLargestDiff(int[]values){intlargest=values[0];for(inti=1;i<values.length;i++){if(values[i]>largest){largest=values[i];}}intsmallest=values[0];for(inti=1;i<values.length;i++){if(values[i]<smallest){smallest=values[i];}}returnlargest-smallest;},12,55
2,1226301,intfindLargestDiff(int[]values){intlargest=values[0];for(inti=1;i<values.length;i++){if(values[i]>largest){largest=values[i];}}intsmallest=values[0];for(inti=1;i<values.length;i++){if(values[i]>largest){largest=values[i];}}},1,53
3,1226301,publicdoubletax(Personperson){},16,5
4,2442936,"intgetTaxFromPerson(Personp){/*givenaperson,determinetheirtaxliabilities*/if(p==Employee){}}",8,20
5,2442936,"intgetTaxFromPerson(Personp){/*givenaperson,determinetheirtaxliabilities*/intsalary=p.getSalary();if(salary>10000){returnp.getSalary()*0.05;}else{returnp.getSalary()*0.02;}}",4,35
6,2442936,"intgetTaxFromPerson(Personp){/*givenaperson,determinetheirtaxliabilities*/}",2,14
7,2442936,intgetTaxFromPerson(Personp){},7,5
8,2442936,intlargestDifferenceInArray(int[]a){/*determineslargestdifferencebetweentwoelementsinarray*/intmax=a[0];for(inti=1;i<a.length;i++){if(max<a[i]){max=a[i];}}},2,39
9,2442936,intlargestDifferenceInArray(int[]a){/*determineslargestdifferencebetweentwoelementsinarray*/},7,15
10,2442936,intlargestDifferenceInArray(inta[]){},10,5
11,2822998,publicdoublecalculateTax(Personp){//Calculatesthetaxbasedonthepersonsoccupation},3,13
12,2822998,"publicdoublecalculateTax(Personp){//Findtheclassoftheobject//Calculatesthetaxbasedonthatperson'soccupationif(p.class==""Employee""){if(p.getSalary()<10000){returnp.getSalary()*0.02;}else{returnp.getSalary()*0.05;}}elseif(p.class==""BusiessOwner""){returnp.getProfit()*0.1;}return0.0;}",1,34
13,2822998,publicdoublecalculateTax(Personp){//GettheclassofthePersonobject//Calculatesthetaxbasedonthatperson'soccupation},1,20
14,2822998,"publicdoublecalculateTax(Personp){//functionforcalculatingtaxbasedonoccupationif(p.class==""Employee""){if(p.getSalary()<10000){returnp.getSalary()*0.02;}else{returnp.getSalary()*0.05;}}elseif(p.class==""BusiessOwner""){returnp.getProfit()*0.1;}return0.0;}",2,27
15,2822998,"publicdoublecalculateTax(Personp){//instanceOfmethodif(p.class==""Employee""){if(p.getSalary()<10000){returnp.getSalary()*0.02;}else{returnp.getSalary()*0.05;}}elseif(p.class==""BusiessOwner""){returnp.getProfit()*0.1;}return0.0;}",1,23
16,2822998,publicdoublecalculateTax(Personp){//instanceOfmethodif(pinstanceofEmployee){Employeee=(Employee)pif(e.getSalary()<10000){returne.getSalary()*0.02;}else{returne.getSalary()*0.05;}}elseif(pinstanceofBusinessOwner){BusinessOwnerb=(BusinessOwner)p;returnb.getProfit()*0.1;}return0.0;},5,35
17,2822998,"publicdoublecalculateTax(Personp){//instanceOfmethodif(pinstanceofEmployee){Employeee=(Employee)pif(p.getSalary()<10000){returnp.getSalary()*0.02;}else{returnp.getSalary()*0.05;}}elseif(p.class==""BusiessOwner""){returnp.getProfit()*0.1;}return0.0;}",1,29
18,2822998,publicdoublecalculateTax(Personp){},1,5
19,2822998,publicintgetMaxDifference(intinput[]){//differenceofmaximumandminimumofthearrayintmin=Integer.MAX_VALUE;intmax=Integer.MIN_VALUE;for(inti=0;i<input.length;i++){if(input[i]>max)max=input[i];elseif(input[i]<min)min=input[i];}returnmax-min;},9,34
20,2822998,publicintgetMaxDifference(intinput[]){//differenceofmaximumandminimumofthearrayintmin=Integer.MAX_VALUE;intmax=Integer.MIN_VALUE;for(inti=0;i<input.length;i++){}},2,23
21,2822998,publicintgetMaxDifference(intinput[]){//functiontocalculatemaximumdifferenceinarray},2,12
22,2822998,publicintgetMaxDifference(intinput[]){},1,5
23,3368542,//Functionoverloadingfordifferentparameters//calculatetaxforEmployeepublicdoublecalculateTax(Employeee){doublesal=e.getSalary();if(sal<100000){returnsal*0.02;}else{returnsal*0.05;}}//calculatetaxforBusinessOwnerpublicdoublecalculateTax(BusinessOwnerb){returnb.getProfit()*0.1;}//calculatetaxforVeteranpublicdoublecalculateTax(Veteranv){return0;}//calculatetaxforPersonpublicdoublecalculateTax(Personp){return0;},8,73
24,3368542,//Methodoverloadingfordifferenttypesofparameters//calculatetaxforEmployeeobjectpublicdoublecalculateTax(Employeee){doublesal=e.getSalary();if(sal<100000){returnsal*0.02;}else{returnsal*0.05;}}//calculatetaxforBusinessOwnerobjectpublicdoublecalculateTax(BusinessOwnerb){returnb.getProfit()*0.1;}//calculatetaxforVeteranobjectpublicdoublecalculateTax(Veteranv){return0;}//calculatetaxforPersonobjectpublicdoublecalculateTax(Personp){return0;},3,79
25,3368542,//Methodoverloadingfordifferenttypesofparameters//calculatetaxforEmployeepublicdoublecalculateTax(Employeee){doublesal=e.getSalary();if(sal<100000){returnsal*0.02;}else{returnsal*0.05;}}//calculatetaxforBusinessOwnerpublicdoublecalculateTax(BusinessOwnerb){returnb.getProfit()*0.1;}//calculatetaxforVeteranpublicdoublecalculateTax(Veteranv){return0;}//calculatetaxforPersonpublicdoublecalculateTax(Personp){return0;},4,75
26,3368542,publicintmaxDifference(int[]input){if(input.length==0||input==null)return-1;//Findthemaximumandminimumfromtheintegerarray//Returnthedifferenceofmaxandmin.intmax=-2147483648;intmin=2147483647;for(inti=0;i<input.length;i++){if(input[i]>max)max=input[i];if(input[i]<min)min=input[i];}returnmax-min;},2,65
27,3368542,publicintmaxDifference(int[]input){if(input.length==0||input==null)return0;//Findthemaximumandminimumfromtheintegerarray//Returnthedifferenceofmaxandmin.intmax=-2147483648;intmin=2147483647;for(inti=0;i<input.length;i++){if(input[i]>max)max=input[i];if(input[i]<min)min=input[i];}returnmax-min;},2,65
28,3368542,publicintmaxDifference(int[]input){if(input.length==0||input==null)return0;//Returnthemaximumdifferenceofmaxandmin.intmax=-2147483648;intmin=2147483647;for(inti=0;i<input.length;i++){if(input[i]>max)max=input[i];if(input[i]<min)min=input[i];}returnmax-min;},12,56
